Year,Month,Day of Week,Day of Month,Season,Day of Season,Sign,Day of Sign,Name of Holiday
2022,August,Monday,1,Midsummer,1,Leo,9,Lammas
2022,August,Tuesday,2,Midsummer,2,Leo,10,
2022,August,Wednesday,3,Midsummer,3,Leo,11,
2022,August,Thursday,4,Midsummer,4,Leo,12,
2022,August,Friday,5,Midsummer,5,Leo,13,
2022,August,Saturday,6,Midsummer,6,Leo,14,
2022,August,Sunday,7,Midsummer,7,Leo,15,
2022,August,Monday,8,Midsummer,8,Leo,16,
2022,August,Tuesday,9,Midsummer,9,Leo,17,
2022,August,Wednesday,10,Midsummer,10,Leo,18,
2022,August,Thursday,11,Midsummer,11,Leo,19,
2022,August,Friday,12,Midsummer,12,Leo,20,
2022,August,Saturday,13,Midsummer,13,Leo,21,
2022,August,Sunday,14,Midsummer,14,Leo,22,
2022,August,Monday,15,Midsummer,15,Leo,23,Assumption of Mary
2022,August,Tuesday,16,Midsummer,16,Leo,24,
2022,August,Wednesday,17,Midsummer,17,Leo,25,
2022,August,Thursday,18,Midsummer,18,Leo,26,
2022,August,Friday,19,Midsummer,19,Leo,27,
2022,August,Saturday,20,Midsummer,20,Leo,28,
2022,August,Sunday,21,Midsummer,21,Leo,29,
2022,August,Monday,22,Midsummer,22,Leo,30,Feast of the Queenship of Mary
2022,August,Tuesday,23,Midsummer,23,Leo,31,
2022,August,Wednesday,24,Midsummer,24,Virgo,1,
2022,August,Thursday,25,Midsummer,25,Virgo,2,
2022,August,Friday,26,Midsummer,26,Virgo,3,
2022,August,Saturday,27,Midsummer,27,Virgo,4,
2022,August,Sunday,28,Midsummer,28,Virgo,5,
2022,August,Monday,29,Midsummer,29,Virgo,6,
2022,August,Tuesday,30,Midsummer,30,Virgo,7,
2022,August,Wednesday,31,Midsummer,31,Virgo,8,
2022,September,Thursday,1,Late Summer,1,Virgo,9,
2022,September,Friday,2,Late Summer,2,Virgo,10,
2022,September,Saturday,3,Late Summer,3,Virgo,11,
2022,September,Sunday,4,Late Summer,4,Virgo,12,
2022,September,Monday,5,Late Summer,5,Virgo,13,Labor Day
2022,September,Tuesday,6,Late Summer,6,Virgo,14,
2022,September,Wednesday,7,Late Summer,7,Virgo,15,
2022,September,Thursday,8,Late Summer,8,Virgo,16,
2022,September,Friday,9,Late Summer,9,Virgo,17,
2022,September,Saturday,10,Late Summer,10,Virgo,18,
2022,September,Sunday,11,Late Summer,11,Virgo,19,
2022,September,Monday,12,Late Summer,12,Virgo,20,
2022,September,Tuesday,13,Late Summer,13,Virgo,21,
2022,September,Wednesday,14,Late Summer,14,Virgo,22,
2022,September,Thursday,15,Late Summer,15,Virgo,23,
2022,September,Friday,16,Late Summer,16,Virgo,24,
2022,September,Saturday,17,Late Summer,17,Virgo,25,
2022,September,Sunday,18,Late Summer,18,Virgo,26,
2022,September,Monday,19,Late Summer,19,Virgo,27,
2022,September,Tuesday,20,Late Summer,20,Virgo,28,
2022,September,Wednesday,21,Young Autumn,1,Virgo,29,Mabon
2022,September,Thursday,22,Young Autumn,2,Virgo,30,
2022,September,Friday,23,Young Autumn,3,Libra,1,
2022,September,Saturday,24,Young Autumn,4,Libra,2,
2022,September,Sunday,25,Young Autumn,5,Libra,3,
2022,September,Monday,26,Young Autumn,6,Libra,4,
2022,September,Tuesday,27,Young Autumn,7,Libra,5,
2022,September,Wednesday,28,Young Autumn,8,Libra,6,
2022,September,Thursday,29,Young Autumn,9,Libra,7,
2022,September,Friday,30,Young Autumn,10,Libra,8,
2022,October,Saturday,1,Young Autumn,11,Libra,9,
2022,October,Sunday,2,Young Autumn,12,Libra,10,
2022,October,Monday,3,Young Autumn,13,Libra,11,
2022,October,Tuesday,4,Young Autumn,14,Libra,12,
2022,October,Wednesday,5,Young Autumn,15,Libra,13,
2022,October,Thursday,6,Young Autumn,16,Libra,14,
2022,October,Friday,7,Young Autumn,17,Libra,15,
2022,October,Saturday,8,Young Autumn,18,Libra,16,
2022,October,Sunday,9,Young Autumn,19,Libra,17,
2022,October,Monday,10,Young Autumn,20,Libra,18,Indigenous People's Day
2022,October,Tuesday,11,Young Autumn,21,Libra,19,
2022,October,Wednesday,12,Young Autumn,22,Libra,20,
2022,October,Thursday,13,Young Autumn,23,Libra,21,
2022,October,Friday,14,Young Autumn,24,Libra,22,
2022,October,Saturday,15,Young Autumn,25,Libra,23,
2022,October,Sunday,16,Young Autumn,26,Libra,24,
2022,October,Monday,17,Young Autumn,27,Libra,25,
2022,October,Tuesday,18,Young Autumn,28,Libra,26,
2022,October,Wednesday,19,Young Autumn,29,Libra,27,
2022,October,Thursday,20,Young Autumn,30,Libra,28,
2022,October,Friday,21,Young Autumn,31,Libra,29,
2022,October,Saturday,22,Young Autumn,32,Libra,30,
2022,October,Sunday,23,Young Autumn,33,Scorpio,1,
2022,October,Monday,24,Young Autumn,34,Scorpio,2,
2022,October,Tuesday,25,Young Autumn,35,Scorpio,3,
2022,October,Wednesday,26,Young Autumn,36,Scorpio,4,
2022,October,Thursday,27,Young Autumn,37,Scorpio,5,
2022,October,Friday,28,Young Autumn,38,Scorpio,6,
2022,October,Saturday,29,Young Autumn,39,Scorpio,7,
2022,October,Sunday,30,Young Autumn,40,Scorpio,8,Mischief Night
2022,October,Monday,31,Young Autumn,41,Scorpio,9,Halloween
2022,November,Tuesday,1,Midautumn,1,Scorpio,10,Samhain
2022,November,Wednesday,2,Midautumn,2,Scorpio,11,Dia de los Muertos
2022,November,Thursday,3,Midautumn,3,Scorpio,12,
2022,November,Friday,4,Midautumn,4,Scorpio,13,
2022,November,Saturday,5,Midautumn,5,Scorpio,14,
2022,November,Sunday,6,Midautumn,6,Scorpio,15,Daylight Savings Time Begins
2022,November,Monday,7,Midautumn,7,Scorpio,16,
2022,November,Tuesday,8,Midautumn,8,Scorpio,17,Election Day
2022,November,Wednesday,9,Midautumn,9,Scorpio,18,
2022,November,Thursday,10,Midautumn,10,Scorpio,19,
2022,November,Friday,11,Midautumn,11,Scorpio,20,Veteran's Day
2022,November,Saturday,12,Midautumn,12,Scorpio,21,
2022,November,Sunday,13,Midautumn,13,Scorpio,22,
2022,November,Monday,14,Midautumn,14,Scorpio,23,
2022,November,Tuesday,15,Midautumn,15,Scorpio,24,
2022,November,Wednesday,16,Midautumn,16,Scorpio,25,
2022,November,Thursday,17,Midautumn,17,Scorpio,26,
2022,November,Friday,18,Midautumn,18,Scorpio,27,
2022,November,Saturday,19,Midautumn,19,Scorpio,28,
2022,November,Sunday,20,Midautumn,20,Scorpio,29,
2022,November,Monday,21,Midautumn,21,Scorpio,30,
2022,November,Tuesday,22,Midautumn,22,Scorpio,31,
